NAME,PRODUCT URL,PRICE RANGE,REVIEWS,SUBCATAGORY
"Pro Breeze Dehumidifier 500ml Compact and Portable Mini Air Dehumidifier for Damp, Mould,…",https://www.amazon.co.uk/Pro-Breeze-Portable-Dehumidifier-Moisture/dp/B00NFRTVY6/ref=zg_bs_1937992031_29?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,44.99,"14,633",Building Supplies
RUNACC LED Work Light Rechargeable Folding Flood Light 20W 1500LM Portable Outdoor…,https://www.amazon.co.uk/RUNACC-Rechargeable-Folding-Portable-Rotatation/dp/B07XYQB1CF/ref=zg_bs_1937992031_30?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,33.95,"2,790",Building Supplies
Folding Aluminium Industrial Hand Trolley - With Anti Puncture Tyres and 100KG Load Capacity…,https://www.amazon.co.uk/Folding-Aluminium-Industrial-Hand-Trolley/dp/B07JGJVSST/ref=zg_bs_1937992031_31?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,32.99 - 64.63,"2,834",Building Supplies
"Premium Felt Floor Cups/Castors (4 x Dark Wood Small 44mm) - Protect Your Wood Laminate,…",https://www.amazon.co.uk/Premium-Felt-Floor-Castors-Small/dp/B00APXJXKK/ref=zg_bs_1937992031_32?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,7.67 - 29.99,967,Building Supplies
Bostik 30812809 10 kg Cementone Rapid Setting Cement - Grey,https://www.amazon.co.uk/Bostik-30812809-Cementone-Setting-Cement/dp/B01D8FRG9Q/ref=zg_bs_1937992031_33?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,10.75,665,Building Supplies
"ANSIO Hanging Wardrobe Dehumidifier, Condensation Remover, Moisture Absorber,…",https://www.amazon.co.uk/Wardrobe-Dehumidifier-Condensation-Moisture-Dehumidifiers/dp/B0157Z0PQG/ref=zg_bs_1937992031_34?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,8.49 - 13.98,"3,580",Building Supplies
"Home Vida 3 Step Ladder, Heavy Duty Steel, Folding, Portable With Anti-Slip Mat",https://www.amazon.co.uk/Home-Discount-Folding-Portable-Anti-Slip/dp/B00QTJ9BDI/ref=zg_bs_1937992031_35?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,21.95 - 42.95,"3,177",Building Supplies
Gorilla Glue Crystal Clear 50ml,https://www.amazon.co.uk/GORILLA-1244002-Purpose-Adhesive-Crystal/dp/B079D84V27/ref=zg_bs_1937992031_36?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,4.96,"1,514",Building Supplies
"Pack of 2 Small LED Torches, 300 Lumens Super Bright Mini Torch Flashlight with 3 Modes and…",https://www.amazon.co.uk/Torches-LETMY-Flashlight-Adjustable-Camping/dp/B07MHX3TJL/ref=zg_bs_1937992031_37?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,8.99,"3,590",Building Supplies
"UniBond Quick Grout Triple Protection, Waterproof Grout for Small Repairs, Tile Grout Reviver…",https://www.amazon.co.uk/UniBond-Triple-Protect-Anti-Mould-Grout/dp/B00BFSM7RA/ref=zg_bs_1937992031_38?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,10.17 - 19.97,"2,342",Building Supplies
"Merriway BH02242 Brass Number 1 Picture Wire, 6 Metre (19.5ft), 6kg (13lb) Breakweight",https://www.amazon.co.uk/Hardware-BH02242-Picture-19-5ft-Breakweight/dp/B00O7P0ZM2/ref=zg_bs_1937992031_39?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,2.88,"1,166",Building Supplies
"ANSIO Car Dehumidifier Reusable Moisture Absorber Bag, Automotive Dehumidifier…",https://www.amazon.co.uk/ANSIO-Dehumidifier-Reusable-Automotive-Condensation/dp/B089WD6F6K/ref=zg_bs_1937992031_40?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,5.29 - 9.98,225,Building Supplies
